id,neighborhood,price,bedrooms,bathrooms,house_size,description,neighborhood_description
0,Downtown San Mateo,1080000,2,2,1500,"Rare & amazing opportunity to own this luxury & updated house that is perfectly situated between Downtown San Mateo & Downtown Burlingame. Stunning 2 bed, 2 bath, home that offers an open & spacious floor plan with a cozy fireplace & living room that extends out to a private patio.","Complex is secure, well-appointed & within strolling distance of Downtown San Mateo shops, restaurants, & the Japanese Tea Garden. Residents will benefit from quick access to major freeways, Caltrain, Bart, & SFO."
1,Sunnyvale,950000,3,2,1800,"Beautiful single-family home located in the heart of Sunnyvale. This 3 bed, 2 bath property features a spacious backyard, updated kitchen, and a cozy living room with a fireplace.","Quiet neighborhood with easy access to parks, schools, and shopping centers. Close to major tech companies and public transportation."
2,Palo Alto,2200000,4,3,2500,"Luxurious modern home in the prestigious Palo Alto neighborhood. This 4 bed, 3 bath property boasts high-end finishes, a gourmet kitchen, and a spacious master suite.","Prime location near Stanford University, top-rated schools, and upscale dining and shopping options. Easy access to major highways and public transportation."
3,Mountain View,1200000,3,2,1600,"Charming ranch-style home in the desirable Mountain View neighborhood. Featuring 3 beds, 2 baths, a large backyard, and a bright and airy living space.","Close to tech campuses, parks, and downtown Mountain View. Easy access to freeways and public transportation for a convenient commute."
4,Redwood City,1350000,4,3,2200,"Spacious family home in a quiet Redwood City neighborhood. This 4 bed, 3 bath property offers a large kitchen, formal dining room, and a backyard perfect for entertaining.","Close to schools, parks, and shopping centers. Easy access to major highways and public transportation for commuting to Silicon Valley."
5,Menlo Park,1800000,5,4,3000,"Elegant estate in the prestigious Menlo Park neighborhood. This 5 bed, 4 bath property features a grand foyer, formal living and dining rooms, and a private backyard oasis.","Located near top-rated schools, parks, and upscale dining and shopping options. Easy access to major tech companies and public transportation."
6,San Francisco,2500000,3,3,2000,"Modern luxury condo in the heart of San Francisco. This 3 bed, 3 bath property offers panoramic city views, high-end finishes, and a rooftop terrace.","Prime location near Union Square, restaurants, shopping, and cultural attractions. Easy access to public transportation and major highways."
7,Oakland,900000,2,1,1200,"Cozy bungalow in the vibrant Oakland neighborhood. Featuring 2 beds, 1 bath, a sunny backyard, and a charming front porch.","Close to local cafes, shops, and parks. Easy access to public transportation and freeways for commuting to San Francisco and the East Bay."
8,Berkeley,1100000,3,2,1600,"Classic craftsman home in the sought-after Berkeley neighborhood. This 3 bed, 2 bath property boasts original details, a spacious kitchen, and a landscaped backyard.","Located near UC Berkeley, parks, and gourmet dining options. Easy access to BART and freeways for commuting to San Francisco and the East Bay."
9,San Jose,800000,4,2,1800,"Spacious family home in a quiet San Jose neighborhood. This 4 bed, 2 bath property features a large living room, updated kitchen, and a backyard with fruit trees.","Close to schools, parks, and shopping centers. Easy access to major tech companies and freeways for commuting throughout the Bay Area."
